Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,145.250000,146.639999,144.160004,145.720001,139.930145,1432600
2020-07-28,145.850006,147.800003,145.369995,146.649994,140.823196,2038100
2020-07-29,139.929993,141.350006,135.350006,137.119995,131.671844,5228500
2020-07-30,134.270004,134.740005,132.270004,132.889999,127.609909,8449300
2020-07-31,133.660004,134.529999,129.839996,132.910004,127.629120,3408400
2020-08-03,133.360001,134.990005,132.220001,134.460007,129.117538,2962200
2020-08-04,133.949997,136.789993,133.940002,136.740005,131.306946,2415100
2020-08-05,136.600006,138.240005,134.509995,134.770004,129.415207,2362800
2020-08-06,134.470001,136.960007,134.449997,136.520004,131.095673,2158300
2020-08-07,136.979996,138.979996,136.630005,137.990005,132.507278,3090800
2020-08-10,137.880005,138.869995,136.429993,138.169998,132.680115,2507900
2020-08-11,137.910004,140.039993,136.789993,138.100006,132.612900,2412500
2020-08-12,138.860001,140.279999,138.669998,139.580002,134.034103,2686100
2020-08-13,139.029999,140.539993,138.990005,139.259995,133.726807,2363900
2020-08-14,139.259995,140.100006,137.970001,138.960007,133.438751,2214900
2020-08-17,139.250000,140.740005,139.089996,139.660004,134.110916,1559000
2020-08-18,140.500000,140.789993,138.940002,139.949997,134.389389,2078000
2020-08-19,139.889999,140.509995,138.220001,138.899994,133.381119,1478900
2020-08-20,137.589996,139.479996,137.360001,139.149994,133.621185,1310300
2020-08-21,139.050003,139.050003,137.100006,138.080002,132.593689,1795700
2020-08-24,138.630005,140.720001,137.630005,140.660004,135.071198,1387600
2020-08-25,141.080002,142.850006,140.160004,141.059998,135.455292,1917300
2020-08-26,141.020004,141.869995,139.070007,139.610001,134.062897,1804100
2020-08-27,141.490005,142.460007,140.029999,141.009995,135.407272,1738100
2020-08-28,140.940002,141.440002,139.380005,141.339996,135.724167,1079200
2020-08-31,140.809998,140.960007,138.360001,139.089996,133.563568,2893600
2020-09-01,138.789993,138.869995,137.350006,138.529999,133.025818,1615700
2020-09-02,138.179993,143.050003,137.500000,142.479996,136.818848,2220000
2020-09-03,142.929993,144.250000,137.720001,139.139999,133.611603,2033400
2020-09-04,139.220001,141.729996,137.500000,138.529999,133.025818,2924200
2020-09-08,136.479996,137.850006,134.800003,135.889999,130.490707,2618000
2020-09-09,136.679993,138.529999,135.119995,137.259995,131.806259,1961800
2020-09-10,136.429993,136.720001,131.279999,131.899994,127.504570,2463700
2020-09-11,132.500000,133.800003,131.380005,133.440002,128.993240,1862200
2020-09-14,134.649994,137.279999,134.320007,136.570007,132.018967,4143000
2020-09-15,137.089996,138.100006,136.149994,136.970001,132.405640,2034300
2020-09-16,137.619995,140.139999,137.160004,137.710007,133.120956,1512900
2020-09-17,134.770004,137.970001,134.199997,137.869995,133.275620,1575300
2020-09-18,137.770004,137.880005,133.869995,135.089996,130.588272,3148600
2020-09-21,132.210007,132.789993,129.110001,131.029999,126.663567,2033400
2020-09-22,131.410004,133.300003,130.449997,132.910004,128.480911,1314000
2020-09-23,132.309998,132.919998,128.369995,128.720001,124.430534,1616600
2020-09-24,128.250000,131.339996,127.309998,130.800003,126.441231,1940000
2020-09-25,129.229996,134.940002,129.229996,134.539993,130.056610,2310000
2020-09-28,136.720001,138.039993,136.080002,137.309998,132.734299,2593200
2020-09-29,137.550003,138.509995,136.500000,137.539993,132.956635,1954200
2020-09-30,137.949997,140.970001,137.770004,139.490005,134.841644,2856800
2020-10-01,141.619995,141.669998,136.690002,137.699997,133.111282,2023100
2020-10-02,135.179993,139.320007,135.110001,138.669998,134.048981,2226500
2020-10-05,139.289993,141.869995,138.929993,140.960007,136.262680,1957600
2020-10-06,141.220001,145.580002,140.009995,142.259995,137.519318,2206000
2020-10-07,143.369995,144.419998,142.000000,143.729996,138.940369,2422200
2020-10-08,145.210007,147.320007,144.910004,147.009995,142.111038,1975800
2020-10-09,148.000000,150.080002,146.869995,149.850006,144.856430,2693300
2020-10-12,151.500000,152.139999,150.050003,150.580002,145.562073,2955200
2020-10-13,151.550003,152.149994,148.720001,149.690002,144.701752,1972200
2020-10-14,149.990005,150.949997,148.039993,148.509995,143.561066,2246300
2020-10-15,146.520004,147.789993,146.000000,147.389999,142.478394,1706700
2020-10-16,148.210007,149.639999,147.500000,148.419998,143.474060,1145600
2020-10-19,148.100006,148.990005,144.699997,145.050003,140.216354,2198800
2020-10-20,146.429993,147.539993,145.770004,146.619995,141.734039,1195600
2020-10-21,146.919998,148.070007,145.850006,146.850006,141.956390,1174600
2020-10-22,147.059998,149.500000,146.089996,148.850006,143.889725,1494500
2020-10-23,150.070007,150.399994,148.330002,149.199997,144.228058,1082900
2020-10-26,147.399994,147.410004,144.589996,145.770004,140.912369,2823300
2020-10-27,146.119995,147.190002,145.570007,146.029999,141.163712,2032000
2020-10-28,155.199997,159.350006,153.880005,155.080002,149.912125,4716600
2020-10-29,154.669998,159.460007,153.490005,158.190002,152.918488,2225100
2020-10-30,156.880005,159.419998,155.789993,157.960007,152.696152,2894400
2020-11-02,159.440002,162.080002,158.500000,161.460007,156.079544,2742500
2020-11-03,163.600006,167.369995,163.070007,166.479996,160.932236,2136200
2020-11-04,167.880005,168.669998,163.850006,164.580002,159.095535,2478700
2020-11-05,165.649994,166.869995,161.940002,162.710007,157.287842,2740200
2020-11-06,164.800003,166.580002,163.559998,166.229996,160.690552,1902300
2020-11-09,173.470001,174.789993,169.649994,169.889999,164.228607,2298000
2020-11-10,169.119995,173.389999,168.179993,171.070007,165.369278,1669800
