Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,40.950001,48.369999,40.950001,45.000000,44.742512,153400
2022-01-21,43.000000,49.950001,42.950001,45.000000,44.742512,329500
2022-01-24,44.919998,45.000000,41.880001,42.799999,42.555099,110000
2022-01-25,42.500000,44.919998,41.330002,41.897999,41.658260,23500
2022-01-26,45.009998,45.060001,42.250000,43.220001,42.972698,90500
2022-01-27,47.259998,49.619999,43.750000,45.759998,45.498161,151600
2022-01-28,44.549999,47.599998,44.150002,46.750000,46.482498,43600
2022-01-31,46.000000,48.000000,46.000000,48.000000,47.725349,71300
2022-02-01,47.500000,50.000000,47.049999,49.779999,49.495163,298800
2022-02-02,50.035000,56.230000,49.799999,53.009998,52.706676,23860900
2022-02-03,52.189999,56.570000,50.299999,53.619999,53.313190,8425500
2022-02-04,52.599998,54.330002,50.119999,50.139999,49.853100,6757800
2022-02-07,50.000000,50.040001,46.000000,46.070000,45.806389,9432500
2022-02-08,45.130001,47.560001,44.169998,45.500000,45.239651,7277500
2022-02-09,44.750000,47.450001,43.880001,47.310001,47.039299,4393100
2022-02-10,45.509998,48.500000,45.380001,47.049999,46.780785,2450000
2022-02-11,46.759998,48.910000,46.060001,48.090000,47.814835,3456800
2022-02-14,48.189999,49.000000,46.990002,48.110001,47.834717,2155000
2022-02-15,47.700001,48.450001,47.200001,48.000000,47.725349,2359800
2022-02-16,47.720001,48.470001,46.950001,47.200001,46.929924,5855300
2022-02-17,46.320000,47.080002,45.189999,45.290001,45.030853,3142600
2022-02-18,45.150002,45.900002,44.799999,45.410000,45.150166,2018700
2022-02-22,45.410000,45.680000,43.490002,43.540001,43.290871,2611100
2022-02-23,43.689999,43.990002,42.180000,43.090000,42.843445,2791200
2022-02-24,43.150002,44.590000,42.220001,44.320000,44.211071,2447900
2022-02-25,44.299999,44.930000,43.740002,43.910000,43.802082,2040700
2022-02-28,43.299999,46.619999,42.459999,45.980000,45.866993,5534900
2022-03-01,45.619999,48.049999,45.349998,47.790001,47.672546,4212900
2022-03-02,48.000000,50.299999,47.330002,49.459999,49.338440,3517100
2022-03-03,49.820000,50.330002,47.547001,49.520000,49.398293,2072200
2022-03-04,49.169998,51.040001,48.250000,51.000000,50.874657,2544600
2022-03-07,51.060001,52.580002,49.869999,51.650002,51.523060,2726900
2022-03-08,51.180000,55.320000,50.849998,52.320000,52.191410,3873700
2022-03-09,52.439999,53.680000,50.590000,51.330002,51.203846,3050600
2022-03-10,50.570000,51.639999,49.270000,51.320000,51.193867,2692700
2022-03-11,51.419998,51.840000,48.290001,49.320000,49.198784,3034100
2022-03-14,51.860001,51.860001,48.590000,50.950001,50.824780,2916600
2022-03-15,51.340000,51.590000,49.900002,51.290001,51.163944,2117400
2022-03-16,51.709999,52.400002,50.349998,51.770000,51.642765,2989800
2022-03-17,51.880001,52.709999,50.910000,50.990002,50.864681,2244600
2022-03-18,50.650002,51.410000,48.880001,49.009998,48.889545,9663900
2022-03-21,48.910000,49.430000,48.599998,49.220001,49.099030,2452000
2022-03-22,50.349998,52.049999,50.009998,51.139999,51.014309,3841900
